"Reference","Value","Footprint","Datasheet","Description","Enlace de compra","Package","Cdad"
"3.3V1, 3.3V2","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","Conector molex P2.54mm","","THT 2.54mm","2"
"5V1, 5V2","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","Conector molex P2.54mm","","THT 2.54mm","2"
"BT1","Battery","Battery:BatteryHolder_Seiko_MS621F","~","Bateria 3v","","","1"
"C1, C2","100nF","Capacitor_SMD:C_0805_2012Metric","~","Condensador SMD 0805 100nF","","0805","2"
"D1, D30-D58","LED","LED_SMD:LED_1206_3216Metric","~","LED SMD 1206","https://www.vistronica.com/componentes-activos/diodos/led/led-verde-smd-1206-x10-detail.html","1206","30"
"D2-D29","BZT52Bxx","Diode_SMD:D_SOD-123F","https://www.alldatasheet.com/view.jsp?Searchword=Bzt52c3v3&gclid=EAIaIQobChMIr_zyubTF_gIVQ-TjBx0AswvzEAAYAiAAEgJ0f_D_BwE","Diodo zener 3.3v SMD SOD-123F","https://www.vistronica.com/nuevo-compras-diodo-zener-33v-bzt52c3v3s-0805-detail.html","SOD-123F","28"
"GPIO16, GPIO18, GPIO22, GPIO24, GPIO26, GPIO28","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","Conector molex P2.54mm","","THT","6"
"GPIO29","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","Conector molex P2.54mm","","THT","1"
"J1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","1"
"J1_Rele1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","Header macho macho 2.54mm (2x20P) ","https://www.vistronica.com/conectores-cables-y-switches/regleta-conector-140p-2-54mm-macho-macho-detail.html","THT","1"
"J2, J4","Conn_01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~","Header macho macho 2.54 mm (1x20P)","https://www.vistronica.com/conectores-cables-y-switches/regleta-conector-140p-2-54mm-macho-macho-detail.html","THT","2"
"JP1-JP28","Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","~","Pista para soldar jumper","","None","28"
"JP30","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","1"
"R1, R59","4.7K","Resistor_SMD:R_1206_3216Metric","~","Resistencia SMD 1206 4.7K","","1206","2"
"R2, R32-R58, R60-R62","10K","Resistor_SMD:R_1206_3216Metric","~","-- valores mixtos --","-- valores mixtos --","-- valores mixtos --","31"
"R3-R30","330R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistencia SMD 1206 330","https://www.vistronica.com/componentes-pasivos/resistencias/resistencias-330-ohm-smd-1206-14w-5-x10-detail.html","1206","28"
"R31","1K","Resistor_SMD:R_1206_3216Metric","~","Resistencia SMD 1206 1K","https://www.vistronica.com/componentes-pasivos/resistencias/resistencias-1-kohm-smd-1206-14w-5-x10-detail.html","1206","1"
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","~","","","","1"
"U1","DS3231M","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","RTC DS3231M","","SOIC","1"
"U2","RASPBERRY_PI_4B_4GB","RASPBERRY_PI_4B_4GB:MODULE_RASPBERRY_PI_4B_4GB","","Regleta HEMBRA 2.54mm (2X20P)","https://www.vistronica.com/conectores-cables-y-switches/regleta-hembra-254mm-2x20p-detail.html","None","1"
